,date_time,maxtempC,mintempC,tempC,FeelsLikeC,windspeedKmph,WindGustKmph,cloudcover,uvIndex,pressure,humidity
2588,2016-02-02,34.0,20.0,26.25,25.625,4.708333333333333,10.416666666666666,0.0,7.0,1014.7083333333334,24.791666666666668
2589,2016-02-03,34.0,20.0,25.958333333333332,25.125,4.791666666666667,10.125,0.0,7.0,1014.0,18.375
2590,2016-02-04,34.0,19.0,24.708333333333332,24.0,5.208333333333333,10.708333333333334,0.0,6.0,1013.625,22.041666666666668
2591,2016-02-05,35.0,18.0,24.958333333333332,24.5,5.541666666666667,12.791666666666666,0.0,7.0,1012.4166666666666,31.541666666666668
2592,2016-02-06,31.0,18.0,22.958333333333332,22.5,8.958333333333334,14.375,0.0,6.0,1011.75,46.541666666666664
2593,2016-02-07,31.0,16.0,22.375,22.125,6.833333333333333,12.0,0.0,6.0,1014.2916666666666,51.958333333333336
2594,2016-02-08,33.0,18.0,24.666666666666668,24.625,5.375,10.083333333333334,1.4166666666666667,6.0,1013.4166666666666,40.625
2595,2016-02-09,34.0,20.0,25.583333333333332,25.458333333333332,6.25,12.625,1.7083333333333333,7.0,1012.375,39.375
2596,2016-02-10,32.0,19.0,24.375,24.541666666666668,8.875,14.791666666666666,5.416666666666667,6.0,1012.0833333333334,49.875
2597,2016-02-11,30.0,18.0,22.958333333333332,22.875,9.75,15.875,1.0,6.0,1012.1666666666666,59.083333333333336
2598,2016-02-12,30.0,16.0,21.458333333333332,21.291666666666668,8.0,12.875,0.0,6.0,1012.8333333333334,56.25
2599,2016-02-13,32.0,15.0,22.458333333333332,22.0,5.375,10.5,0.0,6.0,1013.5833333333334,50.875
2600,2016-02-14,32.0,18.0,24.166666666666668,23.875,6.166666666666667,12.041666666666666,4.875,6.0,1012.875,42.25
2601,2016-02-15,33.0,18.0,25.083333333333332,24.875,5.416666666666667,12.208333333333334,9.0,7.0,1012.9583333333334,39.166666666666664
2602,2016-02-16,33.0,19.0,25.541666666666668,25.458333333333332,6.625,12.75,21.666666666666668,7.0,1012.875,39.083333333333336
2603,2016-02-17,34.0,20.0,26.458333333333332,26.458333333333332,6.375,12.583333333333334,15.25,7.0,1013.3333333333334,42.666666666666664
2604,2016-02-18,34.0,21.0,26.541666666666668,26.333333333333332,8.541666666666666,15.791666666666666,2.5,7.0,1012.875,35.416666666666664
2605,2016-02-19,34.0,21.0,26.291666666666668,26.916666666666668,6.791666666666667,12.583333333333334,20.25,7.0,1014.5833333333334,49.916666666666664
2606,2016-02-20,35.0,21.0,27.541666666666668,27.916666666666668,6.041666666666667,12.333333333333334,12.041666666666666,7.0,1014.5416666666666,47.291666666666664
2607,2016-02-21,35.0,23.0,27.833333333333332,28.541666666666668,6.041666666666667,12.541666666666666,20.291666666666668,7.0,1013.4583333333334,42.875
2608,2016-02-22,36.0,22.0,27.791666666666668,27.5,5.083333333333333,10.916666666666666,19.583333333333332,7.0,1013.5,28.541666666666668
2609,2016-02-23,36.0,21.0,27.916666666666668,27.25,7.416666666666667,13.416666666666666,11.625,7.0,1011.5,24.083333333333332
2610,2016-02-24,34.0,20.0,25.833333333333332,25.583333333333332,9.291666666666666,15.416666666666666,1.7916666666666667,7.0,1011.5833333333334,34.583333333333336
2611,2016-02-25,33.0,18.0,24.583333333333332,24.041666666666668,7.0,12.791666666666666,54.0,6.0,1012.7083333333334,36.958333333333336
2612,2016-02-26,36.0,18.0,26.416666666666668,25.916666666666668,4.583333333333333,10.916666666666666,15.791666666666666,6.0,1013.4166666666666,30.208333333333332
2613,2016-02-27,36.0,22.0,28.041666666666668,27.875,7.5,13.833333333333334,8.125,7.0,1013.9166666666666,30.0
2614,2016-02-28,36.0,22.0,28.0,28.333333333333332,4.708333333333333,11.25,22.5,7.0,1014.6666666666666,36.083333333333336
2615,2016-02-29,35.0,23.0,27.833333333333332,28.583333333333332,5.625,11.375,25.208333333333332,7.0,1014.5833333333334,41.208333333333336
2616,2016-03-01,32.0,23.0,26.875,27.791666666666668,6.666666666666667,12.75,26.125,7.0,1013.2083333333334,49.75
2617,2016-03-02,34.0,22.0,26.75,27.916666666666668,5.833333333333333,11.041666666666666,22.125,7.0,1013.6666666666666,50.75
2618,2016-03-03,33.0,22.0,26.916666666666668,27.833333333333332,5.541666666666667,10.041666666666666,18.708333333333332,7.0,1014.3333333333334,49.916666666666664
2619,2016-03-04,34.0,22.0,27.0,27.875,4.5,9.208333333333334,22.083333333333332,7.0,1013.5,50.0
2620,2016-03-05,33.0,22.0,27.0,27.541666666666668,5.625,12.333333333333334,11.583333333333334,7.0,1011.9166666666666,41.916666666666664
2621,2016-03-06,34.0,21.0,26.75,26.541666666666668,5.541666666666667,12.25,12.333333333333334,7.0,1011.5833333333334,31.708333333333332
2622,2016-03-07,35.0,21.0,26.875,26.5,5.0,11.333333333333334,14.291666666666666,7.0,1011.4166666666666,32.0
2623,2016-03-08,36.0,22.0,27.541666666666668,27.291666666666668,6.208333333333333,13.75,6.375,7.0,1010.2083333333334,29.75
2624,2016-03-09,36.0,22.0,28.083333333333332,27.583333333333332,6.166666666666667,13.75,3.5,7.0,1011.25,26.0
2625,2016-03-10,37.0,23.0,29.125,28.583333333333332,5.541666666666667,11.333333333333334,2.625,7.0,1011.7083333333334,25.208333333333332
2626,2016-03-11,37.0,24.0,29.375,28.833333333333332,7.291666666666667,14.0,3.9583333333333335,7.0,1011.7083333333334,27.041666666666668
2627,2016-03-12,36.0,22.0,27.708333333333332,27.916666666666668,8.25,14.958333333333334,5.583333333333333,7.0,1011.0416666666666,38.833333333333336
2628,2016-03-13,33.0,21.0,25.458333333333332,25.375,10.458333333333334,17.125,2.625,7.0,1012.6666666666666,41.458333333333336
2629,2016-03-14,34.0,19.0,25.5,25.25,6.166666666666667,12.625,0.0,7.0,1013.0,45.833333333333336
